,name,city,Experience,Fess,hospital_name,Review
0,Dr. Naresh Mehta,"Mulund West,Mumbai",Fed up of endless wait?,35 years experience overall,Fortis Hospital + 1 more,92% 7 Patient Stories
1,Dr. Rajanshu Tiwari,"Chembur,Mumbai",General Physician35 years experience overall,₹1500 Consultation fee at clinic,Dr. Tiwari's Clinic,97% 53 Patient Stories
2,Dr. Shubhashree Patil,"Andheri East,Mumbai",General Physician12 years experience overall,12 years experience overall,Diabetes And Wellness Clinic,99% 207 Patient Stories
3,Dr. Akshaya Shetty,"Andheri East,Mumbai",General Physician17 years experience overall,₹800 Consultation fee at clinic,Shetty's Care Clinic + 1 more,100% 14 Patient Stories
4,Dr. Seema S. Masrani,"Kandivali West,Mumbai",General Physician10 years experience overall,17 years experience overall,Dr. Seema S. Masrani's Clinic,75% 3 Patient Stories
5,Dr. Samvaad Shetty,"Andheri East,Mumbai",General Physician29 years experience overall,₹1000 Consultation fee at clinic,Dr.Samvaad Shetty's Clinic,100% 11 Patient Stories
6,Dr. Shoibalini Karmokar,"Santacruz West,Mumbai",General Physician10 years experience overall,10 years experience overall,Aceso Health Clinic,100% 5 Patient Stories
7,Dr. Swaroop Y Choudhari,"Andheri East,Mumbai",General Physician2 years experience overall,₹600 Consultation fee at clinic,Choudhari Clinic @ Dr Swaroop Choudhari MD,100% 1 Patient Story
8,Dr. Madhulika Goyle,"Andheri West,Mumbai",General Physician10 years experience overall,29 years experience overall,Health Care Clinic,92% 6 Patient Stories
9,Dr. Kiran Makwana,"Borivali East,Mumbai",General Physician15 years experience overall,₹1000 Consultation fee at clinic,AUM Clinic,
10,Dr. Rajesh Gajara,"Mulund West,Mumbai",General Physician12 years experience overall,10 years experience overall,Fortis Hospital + 1 more,94% 7 Patient Stories
11,Dr. Sanjay Shah,"Mulund West,Mumbai",•Average Ratings4.8  (307 Reviews & Ratings),₹800 Consultation fee at clinic,Fortis Hospital,86% 10 Patient Stories
